Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Gls,Ast
Rodrigo Abascal,uy URU,Vitória Guimarães,DF,32-011,18,18,162,1,2,0,3,0,0.06,0.11
Nelson Abbey,eng ENG,Rio Ave,DF,22-150,13,12,104,0,0,0,2,0,0.00,0.00
Sabit Abdulai,gh GHA,Alverca,MF,26-259,15,14,107,0,1,0,5,1,0.00,0.08
Umar Abubakar,ng NGA,Famalicão,FW,19-344,9,0,7600,0,0,0,0,0,0.00,0.00
Adriano,br BRA,Santa Clara,MF,26-082,18,16,144,0,0,0,6,1,0.00,0.00
Adriel,br BRA,AVS Futebol,GK,25-011,2,2,18000,0,0,0,0,0,0.00,0.00
João Afonso,pt POR,Tondela,DF,35-242,7,5,48900,0,0,0,2,0,0.00,0.00
Brandon Aguilera,cr CRC,Rio Ave,MF,22-211,17,15,125,1,0,0,4,0,0.07,0.00
Makan Aiko,fr FRA,Tondela,FW,25-018,2,1,11400,0,0,0,0,0,0.00,0.00
Babatunde Akinsola,ng NGA,AVS Futebol,"MF,FW",22-321,19,16,134,1,2,0,1,0,0.07,0.13
Kerem Aktürkoğlu,tr TUR,Benfica,"FW,MF",27-096,1,0,2400,0,0,0,0,0,0.00,0.00
Alan,br BRA,Moreirense,"MF,FW",25-323,18,18,155,2,5,0,5,0,0.12,0.29
Ángel Alarcón,es ESP,Porto,FW,21-255,3,0,6000,0,0,0,0,0,0.00,0.00
Ángel Algobia,es ESP,AVS Futebol,MF,26-216,12,10,66800,0,0,0,0,0,0.00,0.00
Pedro Amaral,pt POR,Estoril,"DF,MF",28-153,15,15,113,0,2,0,2,0,0.00,0.16
Amorim,br BRA,Alverca,MF,20-252,18,18,153,2,0,0,3,0,0.12,0.00
Andrew,br BRA,Gil Vicente FC,GK,24-208,17,17,150,0,0,0,2,1,0.00,0.00
Leandro Antonetti,pr PUR,Estrela,FW,23-012,4,0,3600,0,0,0,0,0,0.00,0.00
Henrique Araújo,pt POR,Benfica,FW,24-006,5,0,2300,0,0,0,0,0,0.00,0.00
Maximiliano Araújo,uy URU,Sporting CP,"DF,MF",25-344,15,13,107,4,2,0,5,1,0.34,0.17
Tomás Araújo,pt POR,Benfica,DF,23-254,14,11,93200,1,0,0,1,0,0.10,0.00
Telmo Arcanjo,cv CPV,Vitória Guimarães,MF,24-218,16,10,87000,1,0,0,2,1,0.10,0.00
Bright Arrey-Mbi,de GER,Braga,DF,22-305,13,11,96600,0,0,0,2,0,0.00,0.00
Afonso Assis,pt POR,Moreirense,MF,19-194,9,3,34200,1,0,0,3,0,0.26,0.00
Gustavo Assuncao,pt POR,AVS Futebol,MF,25-301,10,7,69000,0,0,0,4,0,0.00,0.00
Nicolaos Athanasiou,gr GRE,Rio Ave,MF,24-315,17,15,131,0,1,0,1,0,0.00,0.07
Yarlen Augusto,br BRA,Tondela,MF,19-339,11,5,45300,0,0,0,0,0,0.00,0.00
João Aurélio,pt POR,Nacional,DF,37-161,15,14,125,0,0,0,2,0,0.00,0.00
Fredrik Aursnes,no NOR,Benfica,"MF,DF",30-046,18,17,154,3,2,0,0,0,0.18,0.12
Daniel Azevedo,pt POR,Casa Pia,GK,27-347,3,2,21800,0,0,0,1,0,0.00,0.00
Ibrahima Ba,sn SEN,Famalicão,DF,20-244,8,5,48800,0,1,0,1,0,0.00,0.18
Felix Bacher,at AUT,Estoril,DF,25-092,19,19,171,0,0,0,3,0,0.00,0.00
Miguel Baeza,es ESP,Nacional,"MF,FW",25-304,7,5,35000,0,0,0,0,0,0.00,0.00
Ney Bahia,br BRA,Santa Clara,MF,21-183,1,1,4500,0,0,0,0,0,0.00,0.00
Theofanis Bakoulas,gr GRE,Rio Ave,MF,21-021,3,2,15800,0,0,0,0,0,0.00,0.00
Thiago Balieiro,br BRA,Vitória Guimarães,DF,22-336,1,1,9000,0,0,0,0,0,0.00,0.00
Mohamed Bamba,ci CIV,Gil Vicente FC,MF,21-109,3,1,6500,0,0,0,2,0,0.00,0.00
Sidi Bane,sn SEN,AVS Futebol,DF,22-011,9,6,59000,1,0,0,1,0,0.15,0.00
Barbero,es ESP,Arouca,FW,27-161,17,10,85500,2,1,0,2,0,0.21,0.11
Rafael Barbosa,pt POR,AVS Futebol,MF,29-302,13,7,64600,1,2,0,3,0,0.14,0.28
Leandro Barreiro Martins,lu LUX,Benfica,MF,26-022,17,7,72300,1,3,0,1,0,0.12,0.37
Enzo Barrenechea,ar ARG,Benfica,MF,24-248,15,15,123,0,0,0,6,0,0.00,0.00
Steven Baseya,fr FRA,Alverca,DF,21-011,5,2,20900,0,0,0,0,0,0.00,0.00
Gil Bastião Dias,pt POR,Famalicão,MF,29-119,17,14,118,2,4,0,6,0,0.15,0.30
Gabriel Batista,br BRA,Santa Clara,GK,27-236,19,19,171,0,1,0,0,0,0.00,0.05
Gilberto Batista,gw GNB,Moreirense,DF,22-027,14,7,70100,0,0,0,1,0,0.00,0.00
Ricardo Batista,pt POR,Casa Pia,GK,39-067,4,3,31600,0,0,0,0,0,0.00,0.00
Bebeto,br BRA,Tondela,DF,36-024,12,11,94000,0,0,0,4,0,0.00,0.00
Jan Bednarek,pl POL,Porto,DF,29-288,17,16,133,0,0,0,6,0,0.00,0.00
Yanis Begraoui,ma MAR,Estoril,"FW,MF",24-205,19,16,141,13,1,3,1,0,0.83,0.06
Fahem Benaissa Yahia,fr FRA,Casa Pia,"MF,DF",23-271,10,6,55000,0,0,0,2,0,0.00,0.00
Roméo Beney,ch SUI,Famalicão,FW,21-006,6,0,11500,0,0,0,1,0,0.00,0.00
Beni,ao ANG,Vitória Guimarães,MF,23-249,15,13,106,1,0,0,5,0,0.09,0.00
