Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Expected_xG,Expected_xAG
Rodrigo Abascal,uy URU,Vitória,DF,31,10,10,900,0,1,0,0,0,0.3,0.2
Nelson Abbey,eng ENG,Rio Ave,DF,22,6,6,529,0,0,0,1,0,0.0,0.1
Sabit Abdulai,gh GHA,Alverca,MF,26,8,7,483,0,0,0,4,1,0.1,0.1
Umar Abubakar,ng NGA,Famalicão,"FW,MF",19,8,0,64,0,0,0,0,0,0.5,0.0
Adriano,br BRA,Santa Clara,MF,26,11,10,920,0,0,0,5,1,0.6,0.2
João Afonso,pt POR,Tondela,DF,35,4,4,360,0,0,0,1,0,0.1,0.0
Brandon Aguilera,cr CRC,Rio Ave,MF,22,10,9,703,0,0,0,4,0,0.2,0.5
Babatunde Akinsola,ng NGA,AVS Futebol,"FW,MF",22,11,10,832,0,2,0,1,0,0.5,1.4
Kerem Aktürkoğlu,tr TUR,Benfica,MF,27,1,0,24,0,0,0,0,0,0.1,0.0
Alan,br BRA,Moreirense,"MF,FW",25,11,11,942,2,3,0,3,0,0.5,2.4
Ángel Alarcón,es ESP,Porto,FW,21,1,0,15,0,0,0,0,0,0.0,0.0
Ángel Algobia,es ESP,AVS Futebol,MF,26,7,7,424,0,0,0,0,0,0.0,0.0
Pedro Amaral,pt POR,Estoril,"DF,MF",28,7,7,555,0,0,0,2,0,0.2,0.0
Amorim,br BRA,Alverca,MF,20,11,11,927,1,0,0,2,0,0.2,1.1
Andrew,br BRA,Gil Vicente FC,GK,24,11,11,955,0,0,0,1,1,0.0,0.0
Leandro Antonetti,pr PUR,Estrela,FW,22,3,0,27,0,0,0,0,0,0.1,0.0
Henrique Araújo,pt POR,Benfica,FW,23,5,0,23,0,0,0,0,0,0.2,0.0
Maximiliano Araújo,uy URU,Sporting CP,DF,25,8,6,555,0,1,0,1,1,0.8,0.6
Tomás Araújo,pt POR,Benfica,DF,23,9,6,517,1,0,0,0,0,0.2,0.3
Telmo Arcanjo,cv CPV,Vitória,"FW,MF",24,10,6,529,0,0,0,0,0,0.2,0.9
Bright Arrey-Mbi,de GER,Braga,DF,22,7,6,513,0,0,0,1,0,0.0,0.0
Afonso Assis,pt POR,Moreirense,"MF,FW",19,4,1,120,0,0,0,1,0,0.0,0.1
Gustavo Assuncao,pt POR,AVS Futebol,MF,25,4,4,341,0,0,0,1,0,0.1,0.0
Nicolaos Athanasiou,gr GRE,Rio Ave,"MF,DF",24,11,9,806,0,1,0,1,0,0.1,1.3
Yarlen Augusto,br BRA,Tondela,"FW,MF",19,10,5,441,0,0,0,0,0,0.8,0.6
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
João Aurélio,pt POR,Nacional,DF,37,10,10,887,0,0,0,1,0,0.2,0.4
Fredrik Aursnes,no NOR,Benfica,"MF,DF",29,11,11,985,1,0,0,0,0,0.6,2.2
Daniel Azevedo,pt POR,Casa Pia,GK,27,3,2,218,0,0,0,1,0,0.0,0.0
Ibrahima Ba,sn SEN,Famalicão,DF,20,6,3,308,0,0,0,1,0,0.1,0.0
Felix Bacher,at AUT,Estoril,DF,25,11,11,990,0,0,0,2,0,0.8,0.3
Ney Bahia,br BRA,Santa Clara,MF,21,1,1,45,0,0,0,0,0,0.0,0.0
Theofanis Bakoulas,gr GRE,Rio Ave,MF,20,3,2,158,0,0,0,0,0,0.0,0.3
Mohamed Bamba,ci CIV,Gil Vicente FC,MF,21,1,1,45,0,0,0,1,0,0.0,0.0
Sidi Bane,sn SEN,AVS Futebol,DF,21,7,5,476,1,0,0,1,0,0.6,0.1
Barbero,es ESP,Arouca,FW,27,10,6,496,0,1,0,1,0,1.0,0.4
Rafael Barbosa,pt POR,AVS Futebol,"MF,FW",29,10,7,569,1,2,0,3,0,1.6,0.6
Leandro Barreiro Martins,lu LUX,Benfica,"MF,FW",25,11,1,254,0,2,0,0,0,0.6,0.3
Enzo Barrenechea,ar ARG,Benfica,MF,24,10,10,823,0,0,0,5,0,0.2,0.5
Steven Baseya,fr FRA,Alverca,DF,20,4,2,208,0,0,0,0,0,0.1,0.0
Gil Bastião Dias,pt POR,Famalicão,FW,29,11,8,659,1,2,0,3,0,2.2,3.1
Gabriel Batista,br BRA,Santa Clara,GK,27,11,11,990,0,0,0,0,0,0.0,0.0
Gilberto Batista,gw GNB,Moreirense,DF,21,8,2,236,0,0,0,1,0,0.0,0.0
Bebeto,br BRA,Tondela,DF,35,8,7,599,0,0,0,3,0,0.1,0.4
Jan Bednarek,pl POL,Porto,DF,29,11,11,875,0,0,0,4,0,0.1,0.2
Yanis Begraoui,ma MAR,Estoril,FW,24,11,8,693,5,1,2,1,0,3.7,0.3
Fahem Benaissa Yahia,fr FRA,Casa Pia,"MF,DF",23,8,6,517,0,0,0,2,0,0.1,0.7
Roméo Beney,ch SUI,Famalicão,FW,20,2,0,42,0,0,0,0,0,0.0,0.0
Beni,ao ANG,Vitória,MF,23,10,8,642,0,0,0,3,0,0.0,0.3
Sergio Bermejo,es ESP,Gil Vicente FC,"FW,MF",28,8,4,340,0,0,0,0,0,0.3,0.0
Simão Bertelli,br BRA,AVS Futebol,GK,32,8,8,720,0,0,0,1,0,0.0,0.1
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Fabio Blanco,es ESP,Vitória,"FW,MF",21,6,3,281,0,0,0,2,1,0.3,0.7
Paulinho Bóia,br BRA,Nacional,"FW,MF",27,11,11,931,1,0,0,2,0,1.5,0.6
